KEGG Pathway and Enzyme ID	Gene name
	NCAPD3
	CCND3
	NCAPD3
	WDSUB1
	ABR
	PNOC
	NCAPD3
	WDSUB1
	CT47A8
	WDSUB1
	PKD2L2
	ANO9
	NCAPD3
	CCL8
	HLA-C
	CCND3
	CCND3
	NRG2
	DNAJC11
	PNOC
	PKD2L2
	NCAPD3
	AC209539.2
	DNAJC11
	GABRD
	CT47A7
	NCAPD3
	KRTAP9-4
	ABR
	GABRD
	NCAPD3
	KRTAP9-9
	SIDT2
	ABR
	NCAPD3
	DNAJC11
	KRTAP9-9
	SIDT2
	GABRD
	GABRD
	ABR
	GABRD
	MMS19
	GABRD
	GABRD
	GABRD
	GABRD
	GABRD
	SIDT2
	CT47A6
	ABR
	NRG2
	PKD2L2
	TLR10
	SIDT2
	PKD2L2
	TLR10
	CCND3
	ABR
	CERS4
	TLR10
	CRYGN
	PKD2L2
	SIDT2
	TLR10
	CCND3
	PKD2L2
	CRYGN
	ABR
	KLHL23
	CRYGN
	DDB2
	CRYGN
	ZBTB12
04070+3.1.4.11	PLCB2
00562+3.1.4.11	PLCB2
	TLR10
	TLR10
	PRY
	LILRA6
	TLR10
	CCND3
	PRY
	LILRA6
	KLHL23
	KLHL23
	RAB26
	KLHL23
	LILRA6
	KLHL23
	NYAP1
	LAIR2
	LRRC14B
	KLHL23
	HLA-C
	NYAP1
	PLCB2
	LAIR2
	LAIR2
	LAIR2
	ABR
	USP37
	DEFB129
	PHOSPHO2
	USP37
	RAB26
	PHOSPHO2
	PHOSPHO2
	CERS4
	USP37
	ABR
	PHOSPHO2
	USP37
	RAB26
	ABR
	FP565260.6
	TLR1
	PHLDA2
	OR8J2
	TLR1
	THAP3
	TLR1
	ABR
	NCR1
	TLR1
	OR5T2
	TLR1
	ABR
	PHOSPHO2
	THAP3
	NCR1
	ABR
	OR5T3
05170+2.7.11.1	ABR
04714+2.7.11.1	ABR
04151+2.7.11.1	ABR
05165+2.7.11.1	ABR
05163+2.7.11.1	ABR
04150+2.7.11.1	ABR
04926+2.7.11.1	ABR
	NCR1
	PHOSPHO2
	ABR
	PHOSPHO2
	ABR
	THAP3
	KRTAP9-3
	KRTAP9-2
	USP37
	TLR1
	KRTAP29-1
	DEFB132
	CTSA
	CDK6
	TLR6
04070+3.1.4.11	PLCB2
00562+3.1.4.11	PLCB2
	KIR3DX1
	THAP3
	KIR3DX1
	TLR6
	THAP3
	CDK6
	NOC3L
	TMEM230
	TLR6
